[Panel Mapper]
Version = "ASTP"
Date = "2020/12/15 ¤W¤È 09:12:47"

[Measurement Information]
Scan Start Time = "3690779116.0"
Scan Completion Time = "3690786928.8"
Recipe No = "0"
Manual Measurement = "TRUE"
GlassID = ""
Operator ID = ""
Scan Start Time String = "2020/12/14 ¤U¤È 04:25:15"
Scan Completion Time String = "2020/12/14 ¤U¤È 06:35:28"[LCD Data]
x (um),y (um),Cell Gap (um),PSG Rubbing Direction (°),PSA Rubbing Direction (°),Twist (°),PSG Pre-Tilt(°),PSA Pre-Tilt(°),RMS%Error,# of iterations
0.000000,310.837970,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,316.197245,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,321.556520,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,326.915796,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,332.275071,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,337.634346,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,342.993622,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,348.352897,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,353.712173,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,359.071448,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,364.430723,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,369.789999,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,375.149274,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,380.508549,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,385.867825,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,391.227100,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,396.586375,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,401.945651,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,407.304926,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,412.664201,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,418.023477,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,423.382752,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,428.742027,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,434.101303,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,439.460578,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,444.819853,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,450.179129,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,455.538404,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,460.897679,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,466.256955,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,471.616230,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,476.975505,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,482.334781,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,487.694056,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,493.053331,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,498.412607,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,503.771882,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,509.131157,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,514.490433,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,519.849708,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,525.208983,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,530.568259,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,535.927534,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,541.286809,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,546.646085,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,552.005360,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,557.364635,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,562.723911,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,568.083186,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,573.442461,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,578.801737,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,584.161012,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,589.520288,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,594.879563,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,600.238838,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,605.598114,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,610.957389,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,616.316664,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,621.675940,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,627.035215,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,632.394490,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,637.753766,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,643.113041,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,648.472316,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,653.831592,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,659.190867,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,664.550142,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,669.909418,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,675.268693,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,680.627968,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,685.987244,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,691.346519,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,696.705794,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,702.065070,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,707.424345,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,712.783620,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,718.142896,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,723.502171,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,728.861446,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,734.220722,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,739.579997,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,744.939272,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,750.298548,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,755.657823,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,761.017098,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,766.376374,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,771.735649,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,777.094924,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,782.454200,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,787.813475,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,793.172750,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,798.532026,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,803.891301,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,809.250576,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,814.609852,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,819.969127,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,825.328403,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,830.687678,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,836.046953,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,841.406229,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,846.765504,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,852.124779,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,857.484055,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,862.843330,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,868.202605,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,873.561881,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,878.921156,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,884.280431,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,889.639707,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,894.998982,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,900.358257,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,905.717533,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,911.076808,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,916.436083,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,921.795359,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,927.154634,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,932.513909,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,937.873185,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,943.232460,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,948.591735,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,953.951011,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,959.310286,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,964.669561,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,970.028837,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,975.388112,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,0.000000,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,5.359275,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,10.718551,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,16.077826,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,21.437101,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,26.796377,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,32.155652,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,37.514927,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,42.874203,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,48.233478,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,53.592753,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,58.952029,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,64.311304,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,69.670579,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,75.029855,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,80.389130,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,85.748405,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,91.107681,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,96.466956,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,101.826231,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,107.185507,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,112.544782,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,117.904058,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,123.263333,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,128.622608,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,133.981884,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,139.341159,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,144.700434,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,150.059710,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,155.418985,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,160.778260,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,166.137536,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,171.496811,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,176.856086,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,182.215362,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,187.574637,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,192.933912,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,198.293188,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,203.652463,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,209.011738,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,214.371014,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,219.730289,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,225.089564,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,230.448840,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,235.808115,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,241.167390,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,246.526666,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,251.885941,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,257.245216,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,262.604492,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,267.963767,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,273.323042,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,278.682318,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,284.041593,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,289.400868,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,294.760144,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,300.119419,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,305.478694,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,310.837970,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,316.197245,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,321.556520,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,326.915796,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,332.275071,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,337.634346,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,342.993622,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,348.352897,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,353.712173,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,359.071448,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,364.430723,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,369.789999,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,375.149274,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,380.508549,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,385.867825,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,391.227100,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,396.586375,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,401.945651,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,407.304926,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,412.664201,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,418.023477,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,423.382752,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,428.742027,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,434.101303,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,439.460578,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,444.819853,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.359275,450.179129,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
